{'loss': 1.201, 'learning_rate': 4e-05, 'epoch': 0.02}
{'loss': 0.0215, 'learning_rate': 8.533333333333334e-05, 'epoch': 2.87}
{'loss': 0.024, 'learning_rate': 8.466666666666667e-05, 'epoch': 2.88}
{'loss': 0.0232, 'learning_rate': 8.4e-05, 'epoch': 2.9}
{'loss': 0.0259, 'learning_rate': 8.333333333333334e-05, 'epoch': 2.91}
{'loss': 0.0149, 'learning_rate': 8.266666666666667e-05, 'epoch': 2.93}
{'loss': 0.021, 'learning_rate': 8.2e-05, 'epoch': 2.95}
{'loss': 0.0217, 'learning_rate': 8.133333333333334e-05, 'epoch': 2.96}
{'loss': 0.0298, 'learning_rate': 8.066666666666667e-05, 'epoch': 2.98}
{'loss': 0.0422, 'learning_rate': 8e-05, 'epoch': 3.0}
{'eval_loss': 0.1323571503162384, 'eval_runtime': 22.7652, 'eval_samples_per_second': 1.23, 'eval_steps_per_second': 1.23, 'epoch': 3.0}
{'loss': 0.0257, 'learning_rate': 7.933333333333334e-05, 'epoch': 3.01}
{'loss': 0.0156, 'learning_rate': 7.866666666666666e-05, 'epoch': 3.03}
{'loss': 0.016, 'learning_rate': 7.800000000000001e-05, 'epoch': 3.04}
{'loss': 0.0168, 'learning_rate': 7.733333333333333e-05, 'epoch': 3.06}
{'loss': 0.0165, 'learning_rate': 7.666666666666667e-05, 'epoch': 3.08}
{'loss': 0.0204, 'learning_rate': 7.6e-05, 'epoch': 3.09}
{'loss': 0.0175, 'learning_rate': 7.533333333333334e-05, 'epoch': 3.11}
{'loss': 0.0124, 'learning_rate': 7.466666666666667e-05, 'epoch': 3.13}
{'loss': 0.0122, 'learning_rate': 7.4e-05, 'epoch': 3.14}
{'loss': 0.0199, 'learning_rate': 7.333333333333333e-05, 'epoch': 3.16}
{'loss': 0.0152, 'learning_rate': 7.266666666666667e-05, 'epoch': 3.17}
{'loss': 0.012, 'learning_rate': 7.2e-05, 'epoch': 3.19}
{'loss': 0.0137, 'learning_rate': 7.133333333333334e-05, 'epoch': 3.21}
{'loss': 0.0118, 'learning_rate': 7.066666666666667e-05, 'epoch': 3.22}
{'loss': 0.0174, 'learning_rate': 7e-05, 'epoch': 3.24}
{'loss': 0.0224, 'learning_rate': 6.933333333333334e-05, 'epoch': 3.26}
{'loss': 0.0199, 'learning_rate': 6.866666666666666e-05, 'epoch': 3.27}
{'loss': 0.0135, 'learning_rate': 6.800000000000001e-05, 'epoch': 3.29}
{'loss': 0.0119, 'learning_rate': 6.733333333333333e-05, 'epoch': 3.3}
{'loss': 0.0107, 'learning_rate': 6.666666666666667e-05, 'epoch': 3.32}
{'loss': 0.0137, 'learning_rate': 6.6e-05, 'epoch': 3.34}
{'loss': 0.023, 'learning_rate': 6.533333333333334e-05, 'epoch': 3.35}
{'loss': 0.0131, 'learning_rate': 6.466666666666666e-05, 'epoch': 3.37}
{'loss': 0.0155, 'learning_rate': 6.400000000000001e-05, 'epoch': 3.38}
{'loss': 0.0126, 'learning_rate': 6.333333333333333e-05, 'epoch': 3.4}
{'loss': 0.0166, 'learning_rate': 6.266666666666667e-05, 'epoch': 3.42}
{'loss': 0.0251, 'learning_rate': 6.2e-05, 'epoch': 3.43}
{'loss': 0.0127, 'learning_rate': 6.133333333333334e-05, 'epoch': 3.45}
{'loss': 0.0133, 'learning_rate': 6.066666666666667e-05, 'epoch': 3.47}
{'loss': 0.0115, 'learning_rate': 6e-05, 'epoch': 3.48}
{'loss': 0.0153, 'learning_rate': 5.9333333333333343e-05, 'epoch': 3.5}
{'loss': 0.0114, 'learning_rate': 5.866666666666667e-05, 'epoch': 3.51}
{'loss': 0.0121, 'learning_rate': 5.8e-05, 'epoch': 3.53}
{'loss': 0.0162, 'learning_rate': 5.7333333333333336e-05, 'epoch': 3.55}
{'loss': 0.0157, 'learning_rate': 5.666666666666667e-05, 'epoch': 3.56}
